hosp,type,province
1,confirmed,East Azerbaijan
1,confirmed,East Azerbaijan
2,confirmed,East Azerbaijan
2,confirmed,East Azerbaijan
2,confirmed,East Azerbaijan
3,confirmed,East Azerbaijan
5,confirmed,East Azerbaijan
5,confirmed,East Azerbaijan
6,confirmed,East Azerbaijan
7,confirmed,East Azerbaijan
9,confirmed,East Azerbaijan
11,confirmed,East Azerbaijan
11,confirmed,East Azerbaijan
13,confirmed,East Azerbaijan
15,confirmed,East Azerbaijan
17,confirmed,East Azerbaijan
21,confirmed,East Azerbaijan
24,confirmed,East Azerbaijan
25,confirmed,East Azerbaijan
27,confirmed,East Azerbaijan
28,confirmed,East Azerbaijan
33,confirmed,East Azerbaijan
37,confirmed,East Azerbaijan
37,confirmed,East Azerbaijan
39,confirmed,East Azerbaijan
41,confirmed,East Azerbaijan
44,confirmed,East Azerbaijan
46,confirmed,East Azerbaijan
44,confirmed,East Azerbaijan
43,confirmed,East Azerbaijan
45,confirmed,East Azerbaijan
45,confirmed,East Azerbaijan
45,confirmed,East Azerbaijan
44,confirmed,East Azerbaijan
45,confirmed,East Azerbaijan
43,confirmed,East Azerbaijan
42,confirmed,East Azerbaijan
37,confirmed,East Azerbaijan
34,confirmed,East Azerbaijan
31,confirmed,East Azerbaijan
28,confirmed,East Azerbaijan
28,confirmed,East Azerbaijan
31,confirmed,East Azerbaijan
33,confirmed,East Azerbaijan
36,confirmed,East Azerbaijan
42,confirmed,East Azerbaijan
45,confirmed,East Azerbaijan
48,confirmed,East Azerbaijan
48,confirmed,East Azerbaijan
48,confirmed,East Azerbaijan
48,confirmed,East Azerbaijan
52,confirmed,East Azerbaijan
54,confirmed,East Azerbaijan
53,confirmed,East Azerbaijan
51,confirmed,East Azerbaijan
49,confirmed,East Azerbaijan
44,confirmed,East Azerbaijan
40,confirmed,East Azerbaijan
35,confirmed,East Azerbaijan
28,confirmed,East Azerbaijan
27,confirmed,East Azerbaijan
26,confirmed,East Azerbaijan
24,confirmed,East Azerbaijan
23,confirmed,East Azerbaijan
22,confirmed,East Azerbaijan
21,confirmed,East Azerbaijan
18,confirmed,East Azerbaijan
17,confirmed,East Azerbaijan
16,confirmed,East Azerbaijan
17,confirmed,East Azerbaijan
16,confirmed,East Azerbaijan
15,confirmed,East Azerbaijan
15,confirmed,East Azerbaijan
15,confirmed,East Azerbaijan
15,confirmed,East Azerbaijan
15,confirmed,East Azerbaijan
13,confirmed,East Azerbaijan
15,confirmed,East Azerbaijan
15,confirmed,East Azerbaijan
15,confirmed,East Azerbaijan
15,confirmed,East Azerbaijan
14,confirmed,East Azerbaijan
14,confirmed,East Azerbaijan
13,confirmed,East Azerbaijan
13,confirmed,East Azerbaijan
12,confirmed,East Azerbaijan
11,confirmed,East Azerbaijan
11,confirmed,East Azerbaijan
10,confirmed,East Azerbaijan
9,confirmed,East Azerbaijan
10,confirmed,East Azerbaijan
10,confirmed,East Azerbaijan
9,confirmed,East Azerbaijan
11,confirmed,East Azerbaijan
12,confirmed,East Azerbaijan
14,confirmed,East Azerbaijan
16,confirmed,East Azerbaijan
17,confirmed,East Azerbaijan
18,confirmed,East Azerbaijan
20,confirmed,East Azerbaijan
21,confirmed,East Azerbaijan
20,confirmed,East Azerbaijan
22,confirmed,East Azerbaijan
25,confirmed,East Azerbaijan
25,confirmed,East Azerbaijan
25,confirmed,East Azerbaijan
26,confirmed,East Azerbaijan
26,confirmed,East Azerbaijan
27,confirmed,East Azerbaijan
27,confirmed,East Azerbaijan
25,confirmed,East Azerbaijan
26,confirmed,East Azerbaijan
30,confirmed,East Azerbaijan
30,confirmed,East Azerbaijan
35,confirmed,East Azerbaijan
35,confirmed,East Azerbaijan
36,confirmed,East Azerbaijan
37,confirmed,East Azerbaijan
37,confirmed,East Azerbaijan
38,confirmed,East Azerbaijan
40,confirmed,East Azerbaijan
38,confirmed,East Azerbaijan
39,confirmed,East Azerbaijan
43,confirmed,East Azerbaijan
47,confirmed,East Azerbaijan
51,confirmed,East Azerbaijan
52,confirmed,East Azerbaijan
55,confirmed,East Azerbaijan
57,confirmed,East Azerbaijan
57,confirmed,East Azerbaijan
57,confirmed,East Azerbaijan
57,confirmed,East Azerbaijan
59,confirmed,East Azerbaijan
59,confirmed,East Azerbaijan
60,confirmed,East Azerbaijan
64,confirmed,East Azerbaijan
69,confirmed,East Azerbaijan
74,confirmed,East Azerbaijan
77,confirmed,East Azerbaijan
78,confirmed,East Azerbaijan
79,confirmed,East Azerbaijan
77,confirmed,East Azerbaijan
75,confirmed,East Azerbaijan
71,confirmed,East Azerbaijan
69,confirmed,East Azerbaijan
67,confirmed,East Azerbaijan
67,confirmed,East Azerbaijan
65,confirmed,East Azerbaijan
66,confirmed,East Azerbaijan
64,confirmed,East Azerbaijan
65,confirmed,East Azerbaijan
62,confirmed,East Azerbaijan
60,confirmed,East Azerbaijan
57,confirmed,East Azerbaijan
59,confirmed,East Azerbaijan
59,confirmed,East Azerbaijan
55,confirmed,East Azerbaijan
54,confirmed,East Azerbaijan
53,confirmed,East Azerbaijan
52,confirmed,East Azerbaijan
50,confirmed,East Azerbaijan
46,confirmed,East Azerbaijan
43,confirmed,East Azerbaijan
44,confirmed,East Azerbaijan
43,confirmed,East Azerbaijan
41,confirmed,East Azerbaijan
42,confirmed,East Azerbaijan
44,confirmed,East Azerbaijan
46,confirmed,East Azerbaijan
46,confirmed,East Azerbaijan
47,confirmed,East Azerbaijan
47,confirmed,East Azerbaijan
48,confirmed,East Azerbaijan
51,confirmed,East Azerbaijan
52,confirmed,East Azerbaijan
53,confirmed,East Azerbaijan
58,confirmed,East Azerbaijan
56,confirmed,East Azerbaijan
58,confirmed,East Azerbaijan
61,confirmed,East Azerbaijan
59,confirmed,East Azerbaijan
58,confirmed,East Azerbaijan
56,confirmed,East Azerbaijan
56,confirmed,East Azerbaijan
57,confirmed,East Azerbaijan
57,confirmed,East Azerbaijan
54,confirmed,East Azerbaijan
51,confirmed,East Azerbaijan
52,confirmed,East Azerbaijan
53,confirmed,East Azerbaijan
52,confirmed,East Azerbaijan
53,confirmed,East Azerbaijan
53,confirmed,East Azerbaijan
62,confirmed,East Azerbaijan
66,confirmed,East Azerbaijan
67,confirmed,East Azerbaijan
68,confirmed,East Azerbaijan
70,confirmed,East Azerbaijan
69,confirmed,East Azerbaijan
72,confirmed,East Azerbaijan
69,confirmed,East Azerbaijan
71,confirmed,East Azerbaijan
73,confirmed,East Azerbaijan
71,confirmed,East Azerbaijan
73,confirmed,East Azerbaijan
74,confirmed,East Azerbaijan
74,confirmed,East Azerbaijan
75,confirmed,East Azerbaijan
79,confirmed,East Azerbaijan
81,confirmed,East Azerbaijan
83,confirmed,East Azerbaijan
83,confirmed,East Azerbaijan
87,confirmed,East Azerbaijan
87,confirmed,East Azerbaijan
86,confirmed,East Azerbaijan
84,confirmed,East Azerbaijan
84,confirmed,East Azerbaijan
83,confirmed,East Azerbaijan
84,confirmed,East Azerbaijan
84,confirmed,East Azerbaijan
86,confirmed,East Azerbaijan
87,confirmed,East Azerbaijan
87,confirmed,East Azerbaijan
88,confirmed,East Azerbaijan
89,confirmed,East Azerbaijan
89,confirmed,East Azerbaijan
87,confirmed,East Azerbaijan
84,confirmed,East Azerbaijan
88,confirmed,East Azerbaijan
89,confirmed,East Azerbaijan
89,confirmed,East Azerbaijan
91,confirmed,East Azerbaijan
93,confirmed,East Azerbaijan
96,confirmed,East Azerbaijan
99,confirmed,East Azerbaijan
96,confirmed,East Azerbaijan
97,confirmed,East Azerbaijan
102,confirmed,East Azerbaijan
103,confirmed,East Azerbaijan
105,confirmed,East Azerbaijan
111,confirmed,East Azerbaijan
112,confirmed,East Azerbaijan
120,confirmed,East Azerbaijan
117,confirmed,East Azerbaijan
116,confirmed,East Azerbaijan
115,confirmed,East Azerbaijan
116,confirmed,East Azerbaijan
113,confirmed,East Azerbaijan
113,confirmed,East Azerbaijan
110,confirmed,East Azerbaijan
114,confirmed,East Azerbaijan
115,confirmed,East Azerbaijan
116,confirmed,East Azerbaijan
117,confirmed,East Azerbaijan
121,confirmed,East Azerbaijan
126,confirmed,East Azerbaijan
128,confirmed,East Azerbaijan
134,confirmed,East Azerbaijan
139,confirmed,East Azerbaijan
144,confirmed,East Azerbaijan
147,confirmed,East Azerbaijan
150,confirmed,East Azerbaijan
150,confirmed,East Azerbaijan
150,confirmed,East Azerbaijan
144,confirmed,East Azerbaijan
138,confirmed,East Azerbaijan
132,confirmed,East Azerbaijan
131,confirmed,East Azerbaijan
122,confirmed,East Azerbaijan
118,confirmed,East Azerbaijan
118,confirmed,East Azerbaijan
112,confirmed,East Azerbaijan
115,confirmed,East Azerbaijan
113,confirmed,East Azerbaijan
111,confirmed,East Azerbaijan
112,confirmed,East Azerbaijan
112,confirmed,East Azerbaijan
107,confirmed,East Azerbaijan
106,confirmed,East Azerbaijan
98,confirmed,East Azerbaijan
97,confirmed,East Azerbaijan
91,confirmed,East Azerbaijan
87,confirmed,East Azerbaijan
83,confirmed,East Azerbaijan
79,confirmed,East Azerbaijan
75,confirmed,East Azerbaijan
71,confirmed,East Azerbaijan
70,confirmed,East Azerbaijan
70,confirmed,East Azerbaijan
67,confirmed,East Azerbaijan
65,confirmed,East Azerbaijan
63,confirmed,East Azerbaijan
61,confirmed,East Azerbaijan
60,confirmed,East Azerbaijan
56,confirmed,East Azerbaijan
53,confirmed,East Azerbaijan
49,confirmed,East Azerbaijan
46,confirmed,East Azerbaijan
43,confirmed,East Azerbaijan
43,confirmed,East Azerbaijan
43,confirmed,East Azerbaijan
45,confirmed,East Azerbaijan
44,confirmed,East Azerbaijan
43,confirmed,East Azerbaijan
43,confirmed,East Azerbaijan
42,confirmed,East Azerbaijan
41,confirmed,East Azerbaijan
40,confirmed,East Azerbaijan
35,confirmed,East Azerbaijan
36,confirmed,East Azerbaijan
34,confirmed,East Azerbaijan
36,confirmed,East Azerbaijan
35,confirmed,East Azerbaijan
34,confirmed,East Azerbaijan
34,confirmed,East Azerbaijan
35,confirmed,East Azerbaijan
31,confirmed,East Azerbaijan
31,confirmed,East Azerbaijan
28,confirmed,East Azerbaijan
27,confirmed,East Azerbaijan
27,confirmed,East Azerbaijan
27,confirmed,East Azerbaijan
27,confirmed,East Azerbaijan
27,confirmed,East Azerbaijan
28,confirmed,East Azerbaijan
30,confirmed,East Azerbaijan
30,confirmed,East Azerbaijan
30,confirmed,East Azerbaijan
29,confirmed,East Azerbaijan
31,confirmed,East Azerbaijan
31,confirmed,East Azerbaijan
31,confirmed,East Azerbaijan
30,confirmed,East Azerbaijan
31,confirmed,East Azerbaijan
30,confirmed,East Azerbaijan
29,confirmed,East Azerbaijan
27,confirmed,East Azerbaijan
26,confirmed,East Azerbaijan
26,confirmed,East Azerbaijan
27,confirmed,East Azerbaijan
27,confirmed,East Azerbaijan
26,confirmed,East Azerbaijan
27,confirmed,East Azerbaijan
27,confirmed,East Azerbaijan
28,confirmed,East Azerbaijan
27,confirmed,East Azerbaijan
26,confirmed,East Azerbaijan
27,confirmed,East Azerbaijan
28,confirmed,East Azerbaijan
27,confirmed,East Azerbaijan
26,confirmed,East Azerbaijan
24,confirmed,East Azerbaijan
24,confirmed,East Azerbaijan
24,confirmed,East Azerbaijan
22,confirmed,East Azerbaijan
23,confirmed,East Azerbaijan
25,confirmed,East Azerbaijan
26,confirmed,East Azerbaijan
26,confirmed,East Azerbaijan
26,confirmed,East Azerbaijan
25,confirmed,East Azerbaijan
27,confirmed,East Azerbaijan
26,confirmed,East Azerbaijan
26,confirmed,East Azerbaijan
26,confirmed,East Azerbaijan
25,confirmed,East Azerbaijan
26,confirmed,East Azerbaijan
26,confirmed,East Azerbaijan
25,confirmed,East Azerbaijan
24,confirmed,East Azerbaijan
23,confirmed,East Azerbaijan
23,confirmed,East Azerbaijan
23,confirmed,East Azerbaijan
24,confirmed,East Azerbaijan
24,confirmed,East Azerbaijan
24,confirmed,East Azerbaijan
24,confirmed,East Azerbaijan
24,confirmed,East Azerbaijan
24,confirmed,East Azerbaijan
23,confirmed,East Azerbaijan
23,confirmed,East Azerbaijan
23,confirmed,East Azerbaijan
23,confirmed,East Azerbaijan
25,confirmed,East Azerbaijan
25,confirmed,East Azerbaijan
26,confirmed,East Azerbaijan
27,confirmed,East Azerbaijan
26,confirmed,East Azerbaijan
25,confirmed,East Azerbaijan
24,confirmed,East Azerbaijan
24,confirmed,East Azerbaijan
27,confirmed,East Azerbaijan
30,confirmed,East Azerbaijan
32,confirmed,East Azerbaijan
34,confirmed,East Azerbaijan
36,confirmed,East Azerbaijan
39,confirmed,East Azerbaijan
43,confirmed,East Azerbaijan
45,confirmed,East Azerbaijan
47,confirmed,East Azerbaijan
53,confirmed,East Azerbaijan
57,confirmed,East Azerbaijan
69,confirmed,East Azerbaijan
77,confirmed,East Azerbaijan
84,confirmed,East Azerbaijan
88,confirmed,East Azerbaijan
94,confirmed,East Azerbaijan
99,confirmed,East Azerbaijan
104,confirmed,East Azerbaijan
104,confirmed,East Azerbaijan
108,confirmed,East Azerbaijan
113,confirmed,East Azerbaijan
119,confirmed,East Azerbaijan
123,confirmed,East Azerbaijan
123,confirmed,East Azerbaijan
123,confirmed,East Azerbaijan
126,confirmed,East Azerbaijan
128,confirmed,East Azerbaijan
125,confirmed,East Azerbaijan
125,confirmed,East Azerbaijan
123,confirmed,East Azerbaijan
125,confirmed,East Azerbaijan
126,confirmed,East Azerbaijan
123,confirmed,East Azerbaijan
120,confirmed,East Azerbaijan
115,confirmed,East Azerbaijan
113,confirmed,East Azerbaijan
111,confirmed,East Azerbaijan
115,confirmed,East Azerbaijan
120,confirmed,East Azerbaijan
123,confirmed,East Azerbaijan
123,confirmed,East Azerbaijan
124,confirmed,East Azerbaijan
121,confirmed,East Azerbaijan
123,confirmed,East Azerbaijan
117,confirmed,East Azerbaijan
110,confirmed,East Azerbaijan
108,confirmed,East Azerbaijan
106,confirmed,East Azerbaijan
109,confirmed,East Azerbaijan
109,confirmed,East Azerbaijan
110,confirmed,East Azerbaijan
105,confirmed,East Azerbaijan
102,confirmed,East Azerbaijan
98,confirmed,East Azerbaijan
97,confirmed,East Azerbaijan
92,confirmed,East Azerbaijan
89,confirmed,East Azerbaijan
84,confirmed,East Azerbaijan
83,confirmed,East Azerbaijan
82,confirmed,East Azerbaijan
79,confirmed,East Azerbaijan
73,confirmed,East Azerbaijan
70,confirmed,East Azerbaijan
68,confirmed,East Azerbaijan
64,confirmed,East Azerbaijan
63,confirmed,East Azerbaijan
61,confirmed,East Azerbaijan
63,confirmed,East Azerbaijan
66,confirmed,East Azerbaijan
67,confirmed,East Azerbaijan
66,confirmed,East Azerbaijan
69,confirmed,East Azerbaijan
71,confirmed,East Azerbaijan
73,confirmed,East Azerbaijan
67,confirmed,East Azerbaijan
65,confirmed,East Azerbaijan
66,confirmed,East Azerbaijan
66,confirmed,East Azerbaijan
65,confirmed,East Azerbaijan
62,confirmed,East Azerbaijan
59,confirmed,East Azerbaijan
58,confirmed,East Azerbaijan
57,confirmed,East Azerbaijan
54,confirmed,East Azerbaijan
54,confirmed,East Azerbaijan
53,confirmed,East Azerbaijan
53,confirmed,East Azerbaijan
53,confirmed,East Azerbaijan
51,confirmed,East Azerbaijan
52,confirmed,East Azerbaijan
51,confirmed,East Azerbaijan
51,confirmed,East Azerbaijan
50,confirmed,East Azerbaijan
51,confirmed,East Azerbaijan
50,confirmed,East Azerbaijan
51,confirmed,East Azerbaijan
49,confirmed,East Azerbaijan
48,confirmed,East Azerbaijan
48,confirmed,East Azerbaijan
45,confirmed,East Azerbaijan
45,confirmed,East Azerbaijan
46,confirmed,East Azerbaijan
46,confirmed,East Azerbaijan
45,confirmed,East Azerbaijan
46,confirmed,East Azerbaijan
47,confirmed,East Azerbaijan
50,confirmed,East Azerbaijan
49,confirmed,East Azerbaijan
48,confirmed,East Azerbaijan
51,confirmed,East Azerbaijan
51,confirmed,East Azerbaijan
51,confirmed,East Azerbaijan
51,confirmed,East Azerbaijan
51,confirmed,East Azerbaijan
52,confirmed,East Azerbaijan
54,confirmed,East Azerbaijan
57,confirmed,East Azerbaijan
60,confirmed,East Azerbaijan
63,confirmed,East Azerbaijan
67,confirmed,East Azerbaijan
69,confirmed,East Azerbaijan
74,confirmed,East Azerbaijan
75,confirmed,East Azerbaijan
75,confirmed,East Azerbaijan
80,confirmed,East Azerbaijan
82,confirmed,East Azerbaijan
82,confirmed,East Azerbaijan
88,confirmed,East Azerbaijan
87,confirmed,East Azerbaijan
91,confirmed,East Azerbaijan
98,confirmed,East Azerbaijan
102,confirmed,East Azerbaijan
107,confirmed,East Azerbaijan
112,confirmed,East Azerbaijan
116,confirmed,East Azerbaijan
119,confirmed,East Azerbaijan
122,confirmed,East Azerbaijan
122,confirmed,East Azerbaijan
124,confirmed,East Azerbaijan
127,confirmed,East Azerbaijan
133,confirmed,East Azerbaijan
135,confirmed,East Azerbaijan
140,confirmed,East Azerbaijan
142,confirmed,East Azerbaijan
150,confirmed,East Azerbaijan
152,confirmed,East Azerbaijan
154,confirmed,East Azerbaijan
157,confirmed,East Azerbaijan
156,confirmed,East Azerbaijan
155,confirmed,East Azerbaijan
164,confirmed,East Azerbaijan
165,confirmed,East Azerbaijan
170,confirmed,East Azerbaijan
174,confirmed,East Azerbaijan
175,confirmed,East Azerbaijan
176,confirmed,East Azerbaijan
178,confirmed,East Azerbaijan
171,confirmed,East Azerbaijan
170,confirmed,East Azerbaijan
167,confirmed,East Azerbaijan
165,confirmed,East Azerbaijan
162,confirmed,East Azerbaijan
165,confirmed,East Azerbaijan
164,confirmed,East Azerbaijan
164,confirmed,East Azerbaijan
163,confirmed,East Azerbaijan
157,confirmed,East Azerbaijan
153,confirmed,East Azerbaijan
153,confirmed,East Azerbaijan
15,suspected,East Azerbaijan
19,suspected,East Azerbaijan
23,suspected,East Azerbaijan
32,suspected,East Azerbaijan
38,suspected,East Azerbaijan
45,suspected,East Azerbaijan
54,suspected,East Azerbaijan
58,suspected,East Azerbaijan
66,suspected,East Azerbaijan
74,suspected,East Azerbaijan
75,suspected,East Azerbaijan
83,suspected,East Azerbaijan
89,suspected,East Azerbaijan
90,suspected,East Azerbaijan
93,suspected,East Azerbaijan
95,suspected,East Azerbaijan
100,suspected,East Azerbaijan
106,suspected,East Azerbaijan
109,suspected,East Azerbaijan
111,suspected,East Azerbaijan
114,suspected,East Azerbaijan
123,suspected,East Azerbaijan
129,suspected,East Azerbaijan
128,suspected,East Azerbaijan
126,suspected,East Azerbaijan
124,suspected,East Azerbaijan
126,suspected,East Azerbaijan
125,suspected,East Azerbaijan
119,suspected,East Azerbaijan
119,suspected,East Azerbaijan
123,suspected,East Azerbaijan
124,suspected,East Azerbaijan
124,suspected,East Azerbaijan
120,suspected,East Azerbaijan
122,suspected,East Azerbaijan
126,suspected,East Azerbaijan
128,suspected,East Azerbaijan
125,suspected,East Azerbaijan
122,suspected,East Azerbaijan
125,suspected,East Azerbaijan
121,suspected,East Azerbaijan
124,suspected,East Azerbaijan
126,suspected,East Azerbaijan
126,suspected,East Azerbaijan
131,suspected,East Azerbaijan
140,suspected,East Azerbaijan
138,suspected,East Azerbaijan
142,suspected,East Azerbaijan
148,suspected,East Azerbaijan
147,suspected,East Azerbaijan
155,suspected,East Azerbaijan
163,suspected,East Azerbaijan
174,suspected,East Azerbaijan
177,suspected,East Azerbaijan
178,suspected,East Azerbaijan
168,suspected,East Azerbaijan
161,suspected,East Azerbaijan
145,suspected,East Azerbaijan
128,suspected,East Azerbaijan
108,suspected,East Azerbaijan
102,suspected,East Azerbaijan
96,suspected,East Azerbaijan
88,suspected,East Azerbaijan
86,suspected,East Azerbaijan
86,suspected,East Azerbaijan
84,suspected,East Azerbaijan
79,suspected,East Azerbaijan
74,suspected,East Azerbaijan
75,suspected,East Azerbaijan
76,suspected,East Azerbaijan
73,suspected,East Azerbaijan
66,suspected,East Azerbaijan
63,suspected,East Azerbaijan
63,suspected,East Azerbaijan
64,suspected,East Azerbaijan
59,suspected,East Azerbaijan
62,suspected,East Azerbaijan
64,suspected,East Azerbaijan
68,suspected,East Azerbaijan
70,suspected,East Azerbaijan
69,suspected,East Azerbaijan
69,suspected,East Azerbaijan
71,suspected,East Azerbaijan
69,suspected,East Azerbaijan
67,suspected,East Azerbaijan
63,suspected,East Azerbaijan
61,suspected,East Azerbaijan
60,suspected,East Azerbaijan
59,suspected,East Azerbaijan
59,suspected,East Azerbaijan
59,suspected,East Azerbaijan
56,suspected,East Azerbaijan
58,suspected,East Azerbaijan
59,suspected,East Azerbaijan
61,suspected,East Azerbaijan
63,suspected,East Azerbaijan
63,suspected,East Azerbaijan
62,suspected,East Azerbaijan
66,suspected,East Azerbaijan
68,suspected,East Azerbaijan
69,suspected,East Azerbaijan
70,suspected,East Azerbaijan
72,suspected,East Azerbaijan
72,suspected,East Azerbaijan
75,suspected,East Azerbaijan
80,suspected,East Azerbaijan
80,suspected,East Azerbaijan
83,suspected,East Azerbaijan
82,suspected,East Azerbaijan
85,suspected,East Azerbaijan
90,suspected,East Azerbaijan
93,suspected,East Azerbaijan
91,suspected,East Azerbaijan
94,suspected,East Azerbaijan
95,suspected,East Azerbaijan
96,suspected,East Azerbaijan
98,suspected,East Azerbaijan
96,suspected,East Azerbaijan
96,suspected,East Azerbaijan
99,suspected,East Azerbaijan
102,suspected,East Azerbaijan
103,suspected,East Azerbaijan
106,suspected,East Azerbaijan
106,suspected,East Azerbaijan
108,suspected,East Azerbaijan
114,suspected,East Azerbaijan
117,suspected,East Azerbaijan
117,suspected,East Azerbaijan
123,suspected,East Azerbaijan
127,suspected,East Azerbaijan
131,suspected,East Azerbaijan
135,suspected,East Azerbaijan
140,suspected,East Azerbaijan
148,suspected,East Azerbaijan
158,suspected,East Azerbaijan
164,suspected,East Azerbaijan
176,suspected,East Azerbaijan
190,suspected,East Azerbaijan
201,suspected,East Azerbaijan
215,suspected,East Azerbaijan
221,suspected,East Azerbaijan
223,suspected,East Azerbaijan
226,suspected,East Azerbaijan
222,suspected,East Azerbaijan
220,suspected,East Azerbaijan
212,suspected,East Azerbaijan
204,suspected,East Azerbaijan
201,suspected,East Azerbaijan
203,suspected,East Azerbaijan
199,suspected,East Azerbaijan
198,suspected,East Azerbaijan
197,suspected,East Azerbaijan
195,suspected,East Azerbaijan
193,suspected,East Azerbaijan
188,suspected,East Azerbaijan
183,suspected,East Azerbaijan
189,suspected,East Azerbaijan
182,suspected,East Azerbaijan
174,suspected,East Azerbaijan
171,suspected,East Azerbaijan
169,suspected,East Azerbaijan
168,suspected,East Azerbaijan
170,suspected,East Azerbaijan
161,suspected,East Azerbaijan
159,suspected,East Azerbaijan
160,suspected,East Azerbaijan
162,suspected,East Azerbaijan
162,suspected,East Azerbaijan
164,suspected,East Azerbaijan
165,suspected,East Azerbaijan
168,suspected,East Azerbaijan
170,suspected,East Azerbaijan
174,suspected,East Azerbaijan
173,suspected,East Azerbaijan
170,suspected,East Azerbaijan
166,suspected,East Azerbaijan
158,suspected,East Azerbaijan
156,suspected,East Azerbaijan
163,suspected,East Azerbaijan
163,suspected,East Azerbaijan
163,suspected,East Azerbaijan
164,suspected,East Azerbaijan
161,suspected,East Azerbaijan
164,suspected,East Azerbaijan
162,suspected,East Azerbaijan
159,suspected,East Azerbaijan
159,suspected,East Azerbaijan
163,suspected,East Azerbaijan
160,suspected,East Azerbaijan
158,suspected,East Azerbaijan
159,suspected,East Azerbaijan
165,suspected,East Azerbaijan
164,suspected,East Azerbaijan
160,suspected,East Azerbaijan
157,suspected,East Azerbaijan
168,suspected,East Azerbaijan
176,suspected,East Azerbaijan
178,suspected,East Azerbaijan
179,suspected,East Azerbaijan
180,suspected,East Azerbaijan
181,suspected,East Azerbaijan
186,suspected,East Azerbaijan
183,suspected,East Azerbaijan
184,suspected,East Azerbaijan
188,suspected,East Azerbaijan
187,suspected,East Azerbaijan
191,suspected,East Azerbaijan
193,suspected,East Azerbaijan
190,suspected,East Azerbaijan
191,suspected,East Azerbaijan
198,suspected,East Azerbaijan
200,suspected,East Azerbaijan
203,suspected,East Azerbaijan
203,suspected,East Azerbaijan
209,suspected,East Azerbaijan
215,suspected,East Azerbaijan
215,suspected,East Azerbaijan
213,suspected,East Azerbaijan
211,suspected,East Azerbaijan
213,suspected,East Azerbaijan
213,suspected,East Azerbaijan
210,suspected,East Azerbaijan
212,suspected,East Azerbaijan
211,suspected,East Azerbaijan
207,suspected,East Azerbaijan
208,suspected,East Azerbaijan
206,suspected,East Azerbaijan
204,suspected,East Azerbaijan
203,suspected,East Azerbaijan
198,suspected,East Azerbaijan
208,suspected,East Azerbaijan
213,suspected,East Azerbaijan
220,suspected,East Azerbaijan
224,suspected,East Azerbaijan
239,suspected,East Azerbaijan
248,suspected,East Azerbaijan
256,suspected,East Azerbaijan
258,suspected,East Azerbaijan
266,suspected,East Azerbaijan
271,suspected,East Azerbaijan
278,suspected,East Azerbaijan
273,suspected,East Azerbaijan
277,suspected,East Azerbaijan
271,suspected,East Azerbaijan
277,suspected,East Azerbaijan
269,suspected,East Azerbaijan
271,suspected,East Azerbaijan
274,suspected,East Azerbaijan
276,suspected,East Azerbaijan
280,suspected,East Azerbaijan
290,suspected,East Azerbaijan
284,suspected,East Azerbaijan
291,suspected,East Azerbaijan
295,suspected,East Azerbaijan
286,suspected,East Azerbaijan
292,suspected,East Azerbaijan
296,suspected,East Azerbaijan
298,suspected,East Azerbaijan
298,suspected,East Azerbaijan
301,suspected,East Azerbaijan
297,suspected,East Azerbaijan
305,suspected,East Azerbaijan
301,suspected,East Azerbaijan
297,suspected,East Azerbaijan
294,suspected,East Azerbaijan
289,suspected,East Azerbaijan
282,suspected,East Azerbaijan
275,suspected,East Azerbaijan
270,suspected,East Azerbaijan
269,suspected,East Azerbaijan
259,suspected,East Azerbaijan
253,suspected,East Azerbaijan
258,suspected,East Azerbaijan
253,suspected,East Azerbaijan
251,suspected,East Azerbaijan
244,suspected,East Azerbaijan
241,suspected,East Azerbaijan
240,suspected,East Azerbaijan
238,suspected,East Azerbaijan
224,suspected,East Azerbaijan
218,suspected,East Azerbaijan
208,suspected,East Azerbaijan
202,suspected,East Azerbaijan
193,suspected,East Azerbaijan
187,suspected,East Azerbaijan
182,suspected,East Azerbaijan
179,suspected,East Azerbaijan
173,suspected,East Azerbaijan
169,suspected,East Azerbaijan
166,suspected,East Azerbaijan
161,suspected,East Azerbaijan
158,suspected,East Azerbaijan
152,suspected,East Azerbaijan
149,suspected,East Azerbaijan
145,suspected,East Azerbaijan
140,suspected,East Azerbaijan
136,suspected,East Azerbaijan
131,suspected,East Azerbaijan
126,suspected,East Azerbaijan
124,suspected,East Azerbaijan
115,suspected,East Azerbaijan
110,suspected,East Azerbaijan
106,suspected,East Azerbaijan
106,suspected,East Azerbaijan
104,suspected,East Azerbaijan
98,suspected,East Azerbaijan
96,suspected,East Azerbaijan
96,suspected,East Azerbaijan
94,suspected,East Azerbaijan
93,suspected,East Azerbaijan
88,suspected,East Azerbaijan
88,suspected,East Azerbaijan
86,suspected,East Azerbaijan
87,suspected,East Azerbaijan
85,suspected,East Azerbaijan
87,suspected,East Azerbaijan
87,suspected,East Azerbaijan
90,suspected,East Azerbaijan
85,suspected,East Azerbaijan
84,suspected,East Azerbaijan
82,suspected,East Azerbaijan
83,suspected,East Azerbaijan
84,suspected,East Azerbaijan
85,suspected,East Azerbaijan
84,suspected,East Azerbaijan
83,suspected,East Azerbaijan
85,suspected,East Azerbaijan
86,suspected,East Azerbaijan
84,suspected,East Azerbaijan
81,suspected,East Azerbaijan
80,suspected,East Azerbaijan
78,suspected,East Azerbaijan
79,suspected,East Azerbaijan
78,suspected,East Azerbaijan
77,suspected,East Azerbaijan
